frame_id,prompt_variant,advice_text
0,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: CAUTION
Instruction: Reduce speed immediately!"
0,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

**Most Urgent Hazard:** White car directly ahead, potential collision imminent.

**IMPERATIVE ACTION:** SLOW DOWN NOW TO AVOID COLLISION!"
0,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Caution
Check mirrors and blind spots."
0,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

Pedestrians approaching the motorcycle.

**IMPERATIVE ACTION**: SLOW DOWN IMMEDIATELY TO AVOID COLLISION."
30,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Caution
Check left lane before passing"
30,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","WARNING: IMPENDING MERGE CARS IN FRONT AND LEFT.

IMMEDIATELY SLOW DOWN TO MINIMUM SAFE SPEED NOW."
30,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Caution Merge with Caution, Watch Left"
30,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","Based on the image, I have identified the single most urgent hazard:

**Traffic Light**

 Imperative action: **SLAM ON BRAKES IMMEDIATELY!**"
60,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Caution: Come to a complete stop immediately.
60,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Hazard Identification:** Multiple pedestrians and obstacles in road.

**Imperative Action:** SLAM ON BRAKES NOW TO AVOID COLLISION!"
60,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","**Danger: Merge Cautionly**
Check blind spots frequently."
60,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

**Most Critical Hazard:** Pedestrian on the Right Side

**IMMEDIATE ACTION REQUIRED:**

""SLAM ON BRAKES TO AVOID COLLISION!"""
90,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",CAUTION YIELD TO ONCOMING VEHICLES IMMEDIATELY
90,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

**IMPERATIVE ACTION**: REDUCE SPEED IMMEDIATELY TO 60KM/H TO AVOID COLLISION!"
